Domande,Risposte
Quali sono le razze ipoallergeniche?,"Siberiano, Gatto blu di Russia, Bengala, Balinese, Norvegese, Devon Rex, Giavanese, Cornish Rex, Sphynx, Orientale a pelo corto, Laperm, Siamese, Burmese"
Quali sono i sintomi?,"I principali sintomi presenti in individui sensibili ai gatti sono: lacrimazione, prurito, occhi arrossati e gonfi, rinite allergica, naso che cola, starnuti improvvisi, tosse secca ed eruzioni cutanee sulla pelle del viso e del corpo. In alcuni casi, se si inalano i peli del gatto e si soffre di una grave allergia, i sintomi possono essere più gravi e provocare difficoltà respiratorie: tosse, respiro corto e sibilante e attacchi di asma bronchiale improvvisi che con il tempo possono trasformarsi in cronici. "
Quali sono le cause?,"I principali allergeni del gatto sono Fel d 1 e Fel d 4, poi ci sono allergeni minori, e cioè Fel d 2 , Fel d 3, e il IgA felino. 
Fel d 1 è associato alla produzione di ormoni, si trova principalmente nella saliva, ma anche nelle ghiandole sebacee della pelle e perianali, nonché nelle urine dei gatti maschi. 
L'allergene Fel d 1, si accumula sulla cute dell'animale e di conseguenza viene trasmesso sul pelo del gatto, diventando il principale responsabile dei sintomi dell'allergia. 

La produzione di sostanze come l'istamina, provoca negli individui allergici, i classici sintomi di una comune allergia ai pollini o alla polvere, una reazione di difesa del sistema immunitario.
Le sostanze allergeniche possono essere presenti sul pelo, sulla cute, nella saliva e persino nell'urina"
Che precauzioni prendere per gestire l'allergia?,"Evitare che il gatto dorma nella stanza da letto o in luoghi in cui  l'accumulo di peli potrebbe provocare una forte reazione allergica. Cercare di non toccare occhi, naso e bocca dopo un contatto con un gatto, e lavarsi immediatamente le mani con acqua calda e sapone. Se il gatto vive in casa, arieggiare gli ambienti per disperdere all'esterno i suoi peli e di aspirare con un apposito aspirapolvere dotato di filtro tutte le superfici con cui è entrato in contatto, soprattutto tappeti e tessuti.
Purificare l’aria utilizzando filtri HEPA, utilizzare fodere e custodie per materassi e guanciali, applicare lozioni topiche al pelo dell’animale.
Sterilizzare un gatto maschio comporta inoltre un calo significativo della quantità di allergeni in casa, nella femmina non si è riscontrato lo stesso risultato."
Come scoprire se si è allergici?,"Test allergologici cutanei o analisi del sangue. I test cutanei possono essere di due tipi:
- prick test: con un ago si esegue una piccola puntura sul braccio e si deposita una piccola quantità di allergene, se si manifesta una reazione, viene confermata l'allergia al gatto;
- test intradermico: si inietta l'allergene sotto la pelle e si analizza la reazione."
Quali sono i rimedi per ridurre i sintomi?,"- Antistaminici in compresse : Cetirizina (Zirtec), Loratadina (Clarytin) o Desloratadina (Aerius)
- Spray Nasali Cortisonici: i principali farmaci utilizzati sono a base di Fluticasone (Flixonase) o Mometasone (Nasonex, Zhekort).
- Spray Decongestionanti Nasali: i principali principi attivi utilizzati sono la Nafazolina (Rinazina), Ossimetazolina (Vicks Sinex Aloe), Xilometazolina (Actifed Decongestionante Spray)
- Gocce oculari Antiallergiche a base di Sodio Cromoglicato (Brunicrom) o Ketotifene (Brunistill), Inibitori dei Leucotrieni, come il Montelukast (Singulair, Leukast, Montegen)
- Lavaggi Nasali
- L’immunoterapia sublinguale (SLIT)  e sottocutanea (SCIT) "
Il sesso del gatto è correlato alla quantità di allergeni prodotta?,I gatti maschi producono una quantità di Feld1 decisamente maggiore rispetto alle femmine.
Esistono effettivamente gatti anallergenici?,"La maggior parte dei gatti “ipoallergenici” sono pubblicizzati come tali perché sono stati allevati per produrre una quantità inferiore di Fel d 1 nei loro peli. Tuttavia, questo non elimina completamente l’esposizione alla saliva di gatto né ad allergeni minori a cui l’individuo potrebbe essere stato sensibilizzato e che possono anche svolgere un ruolo nei sintomi allergici."
Ci sono allergie alimentari in pazienti sensibili ai gatti?,"L’ esistenza di potenziali reazioni crociate in pazienti sensibilizzati a gatti può innescare sindromi allergiche alimentari difficili da gestire e diagnosticare. La principale sindrome da allergia alimentare è la sindrome “maiale-gatto”, che porta a reazioni anafilattiche dopo il consumo di carne di maiale, soprattutto cruda o poco cotta. Un’ altra sindrome è “anafilassi ritardata da IgE a galattosio ‐ alfa ‐ 1,3 ‐ galattosio (alfa ‐ gal)”. In questo caso, si possono presentare sintomi allergici dopo morsi di zecca, sintomi allergici ritardati, (alcune ore) dopo assunzione di carne rossa dei mammiferi."
Qual è la percentuale di popolazione sensibile ai gatti ?,"Una percentuale compresa tra il 10 e il 20% della popolazione a livello mondiale, in Europa si stima che la percentuale di allergici possa arrivare al 25 per cento e sia in crescita, anche a causa dell’aumento di persone che convivono con cani e gatti."